"yPlus","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.1046127751,0.000436093309,-0.0004357372818,-1.776106595e-09,-9.791918522e-20,0,0,0,0.1135307029,0,1
0.1034406424,0.0004351676907,-0.0004260267306,-1.659469229e-09,0,0,0,0,0.1188480183,0,0
0.1034406424,0.0004351676907,-0.0004260267306,-1.659469229e-09,0,0,0,0,0.1188480183,0,1
0.1023151726,0.0004341288295,-0.0004168058513,-1.55358626e-09,0,0,0,0,0.1242462471,0,0
0.1023151726,0.0004341288295,-0.0004168058513,-1.55358626e-09,0,0,0,0,0.1242462471,0,1
0.1012324467,0.0004329894437,-0.000408030377,-1.457123755e-09,0,0,0,0,0.1297284365,0,0
0.1012324467,0.0004329894437,-0.000408030377,-1.457123755e-09,0,0,0,0,0.1297284365,0,1
0.1001889631,0.0004317606508,-0.0003996613668,-1.368952396e-09,-7.071229722e-20,0,0,0,0.1352977753,0,0
0.1001889631,0.0004317606508,-0.0003996613668,-1.368952396e-09,-7.071229722e-20,0,0,0,0.1352977753,0,1
0.09918159246,0.0004304505128,-0.0003916643618,-1.288110174e-09,-4.12496675e-21,0,0,0,0.140957579,0,0
0.09918159246,0.0004304505128,-0.0003916643618,-1.288110174e-09,-4.12496675e-21,0,0,0,0.140957579,0,1
0.09820755571,0.0004290632205,-0.000384008832,-1.213779521e-09,6.6587406e-20,0,0,0,0.1467113197,0,0
0.09820755571,0.0004290632205,-0.000384008832,-1.213779521e-09,6.6587406e-20,0,0,0,0.1467113197,0,1
0.09726433456,0.0004276035761,-0.0003766675363,-1.145256334e-09,0,0,0,0,0.1525626183,0,0
0.09726433456,0.0004276035761,-0.0003766675363,-1.145256334e-09,0,0,0,0,0.1525626183,0,1
0.09634964913,0.0004260765272,-0.0003696160566,-1.081925771e-09,0,0,0,0,0.1585152596,0,0
0.09634964913,0.0004260765272,-0.0003696160566,-1.081925771e-09,0,0,0,0,0.1585152596,0,1
0.09546144307,0.0004244850716,-0.0003628325067,-1.023257368e-09,5.302997715e-20,0,0,0,0.1645732373,0,0
0.09546144307,0.0004244850716,-0.0003628325067,-1.023257368e-09,5.302997715e-20,0,0,0,0.1645732373,0,1
0.09459784627,0.0004228323232,-0.0003562971542,-9.687881608e-10,5.30300127e-20,0,0,0,0.1707406938,0,0
0.09459784627,0.0004228323232,-0.0003562971542,-9.687881608e-10,5.30300127e-20,0,0,0,0.1707406938,0,1
0.09375715256,0.0004211210471,-0.0003499922168,-9.181099769e-10,0,0,0,0,0.1770219952,0,0
0.09375715256,0.0004211210471,-0.0003499922168,-9.181099769e-10,0,0,0,0,0.1770219952,0,1
0.09293779731,0.0004193518835,-0.0003439014836,-8.708680443e-10,-4.519759457e-20,0,0,0,0.1834216863,0,0
0.09293779731,0.0004193518835,-0.0003439014836,-8.708680443e-10,-4.519759457e-20,0,0,0,0.1834216863,0,1
0.09213835001,0.0004175255308,-0.0003380102862,-8.267497797e-10,-4.519763335e-20,0,0,0,0.1899445951,0,0
0.09213835001,0.0004175255308,-0.0003380102862,-8.267497797e-10,-4.519763335e-20,0,0,0,0.1899445951,0,1
0.09135749191,0.0004156437935,-0.0003323052078,-7.854754625e-10,0,0,0,0,0.1965957433,0,0
0.09135749191,0.0004156437935,-0.0003323052078,-7.854754625e-10,0,0,0,0,0.1965957433,0,1
0.09059400111,0.0004137079231,-0.0003267740249,-7.467968466e-10,0,0,0,0,0.2033804059,0,0
0.09059400111,0.0004137079231,-0.0003267740249,-7.467968466e-10,0,0,0,0,0.2033804059,0,1
0.08984676003,0.0004117184144,-0.000321405445,-7.10494219e-10,3.69286545e-20,0,0,0,0.2103041708,0,0
0.08984676003,0.0004117184144,-0.000321405445,-7.10494219e-10,3.69286545e-20,0,0,0,0.2103041708,0,1
0.08911471069,0.0004096759076,-0.0003161891946,-6.763711813e-10,1.934589176e-20,0,0,0,0.2173728943,0,0
0.08911471069,0.0004096759076,-0.0003161891946,-6.763711813e-10,1.934589176e-20,0,0,0,0.2173728943,0,1
0.0883968845,0.0004075810139,-0.0003111157566,-6.442493206e-10,1.59219214e-20,0,0,0,0.2245927304,0,0
0.0883968845,0.0004075810139,-0.0003111157566,-6.442493206e-10,1.59219214e-20,0,0,0,0.2245927304,0,1
0.08769237995,0.0004054329765,-0.0003061763709,-6.139700415e-10,3.350478269e-20,0,0,0,0.231970191,0,0
0.08769237995,0.0004054329765,-0.0003061763709,-6.139700415e-10,3.350478269e-20,0,0,0,0.231970191,0,1
0.08700035512,0.0004032304278,-0.0003013629757,-5.853931229e-10,0,0,0,0,0.2395121157,0,0
0.08700035512,0.0004032304278,-0.0003013629757,-5.853931229e-10,0,0,0,0,0.2395121157,0,1
